Pot,Treatment,Culms,Mass,Height
3,Midges added,31,4.89,8.7
10,Midges added,31,13.04,11.9
16,Midges added,29,9.05,9.7
20,Midges added,32,7.32,12.7
25,Midges added,37,8.52,12.9
36,Midges added,40,11.43,13
37,Midges added,31,5.16,6.5
41,Midges added,36,8.76,11.4
45,Midges added,34,3.61,5.2
46,Midges added,31,7.68,4.8
50,Midges added,27,5.83,8.2
52,Midges added,33,4.74,6.9
57,Midges added,31,5.53,8.6
58,Midges added,32,5.73,8.5
62,Midges added,37,12.73,12.2
66,Midges added,29,7.53,7.4
68,Midges added,27,5.1,9.7
72,Midges added,34,4.46,5.9
2,Control,33,3.78,4.5
7,Control,31,3.91,5.7
17,Control,30,4.28,6.9
23,Control,26,4.61,7.4
26,Control,24,7.65,10.2
32,Control,38,5.62,7.9
38,Control,37,3,6.9
42,Control,32,3.58,4.9
43,Control,35,3.47,5.7
48,Control,32,3.48,4.1
49,Control,30,4.57,4.9
54,Control,28,2.86,4.2
55,Control,31,3.15,5.7
59,Control,24,3.71,4.1
63,Control,29,2.95,5.4
65,Control,31,2.25,3.5
67,Control,33,1.98,5.1
71,Control,34,2.75,4.2
