"Pot # (unique ID, 1-108)",Block,Soil,Treatment,Grass,Culms.number,Biomass.culm,Biomass,NH4,NO3,Total.N
10,1,HEL,Midges,yes,23,12.33208333,295.97,31.69247932,77.4707132,109.1631925
11,1,HEL,KNO3,yes,23,1.542083333,37.01,5.081892789,128.3302644,133.4121572
12,1,HEL,Control,yes,23,1.003333333,24.08,0,94.86986411,94.86986411
22,2,HEL,Midges,yes,20,11.01619048,231.34,2.762790698,89.17965535,91.94244604
23,2,HEL,KNO3,yes,17,1.380555556,24.85,0,143.9561779,143.9561779
24,2,HEL,Control,yes,15,1.184375,18.95,0,0,0
34,3,HEL,Midges,yes,22,8.731304348,200.82,19.6448885,70.9740505,90.618939
35,3,HEL,KNO3,yes,14,1.486666667,22.3,0,155.7640288,155.7640288
36,3,HEL,Control,yes,21,0.743636364,16.36,0.242021277,-0.242021277,0
46,4,HEL,Midges,yes,19,9.8225,196.45,22.69104399,31.25055315,53.94159714
47,4,HEL,KNO3,yes,20,1.465714286,30.78,0.569077056,135.5189964,136.0880734
48,4,HEL,Control,yes,16,1.087058824,18.48,0,0.080750894,0.080750894
58,5,HEL,Midges,yes,16,8.737647059,148.54,1.430436118,0,1.430436118
59,5,HEL,KNO3,yes,11,0.515833333,6.19,0,13.4644587,13.4644587
60,5,HEL,Control,yes,16,0.881764706,14.99,3.90715205,8.145534579,12.05268663
70,6,HEL,Midges,yes,21,16.22,356.84,27.0990991,20.68477059,47.78386969
71,6,HEL,KNO3,yes,20,1.023333333,21.49,5.104659347,63.68087403,68.78553337
72,6,HEL,Control,yes,18,0.860526316,16.35,0,0.015494636,0.015494636
82,7,HEL,Midges,yes,25,16.39846154,426.36,2.290363636,23.90667526,26.1970389
83,7,HEL,KNO3,yes,17,1.1,19.8,0,80.699289,80.699289
84,7,HEL,Control,yes,11,1.195833333,14.35,0,9.437457774,9.437457774
94,8,HEL,Midges,yes,19,12.1875,243.75,2.557199322,0,2.557199322
95,8,HEL,KNO3,yes,17,1.534444444,27.62,0,214.3098266,214.3098266
96,8,HEL,Control,yes,19,0.886,17.72,0,22.28936289,22.28936289
106,9,HEL,Midges,yes,18,5.913157895,112.35,0,38.42759184,38.42759184
107,9,HEL,KNO3,yes,15,0.974375,15.59,5.060962567,98.59938137,103.6603439
108,9,HEL,Control,yes,19,0.7355,14.71,3.851652893,24.01041509,27.86206798
